Frame,clavicle_out_l_RelLoc_X,clavicle_out_l_RelLoc_Y,clavicle_out_l_RelLoc_Z,clavicle_out_r_RelLoc_X,clavicle_out_r_RelLoc_Y,clavicle_out_r_RelLoc_Z,thigh_out_l_RelLoc_X,thigh_out_l_RelLoc_Y,thigh_out_l_RelLoc_Z,thigh_out_r_RelLoc_X,thigh_out_r_RelLoc_Y,thigh_out_r_RelLoc_Z,calf_knee_l_RelLoc_X,calf_knee_l_RelLoc_Y,calf_knee_l_RelLoc_Z,calf_knee_r_RelLoc_X,calf_knee_r_RelLoc_Y,calf_knee_r_RelLoc_Z,state,angle_left_deg,angle_right_deg
55,14.06165314,-5.174888611,8.944097519,-11.8703804,-11.64146805,6.53797102,8.252318382,32.72994232,-23.3715744,-13.30853653,31.99931335,-23.59714127,32.59782028,71.97418213,-46.58846664,-34.71724701,73.94779205,-46.37568665,stand up,40.52716333,25.15035794
56,14.44718552,-4.566501141,8.454689026,-11.28401184,-12.44496822,5.641642094,6.826852798,33.52652359,-22.56707573,-14.7154541,32.08120346,-23.19869041,31.85413742,71.55825806,-47.34609604,-35.97805023,73.59703064,-47.10329437,stand up,44.6598743,22.71271431
57,14.78944302,-3.903934479,7.973504066,-10.60697269,-13.18612099,4.773724079,5.359019279,34.26206207,-21.78766441,-16.1453228,32.08884048,-22.81804657,31.11557579,71.00275421,-48.01843643,-37.20810318,73.17939758,-47.81660461,stand up,48.91104358,20.16524153
58,15.13965702,-3.327867508,7.316142082,-9.871862411,-13.8584795,3.83117795,3.699252844,35.23536301,-20.65797806,-17.76383591,32.29693604,-22.01087189,30.32555008,70.39431,-48.47314835,-38.61133575,72.73699188,-48.44311523,stand up,53.66092772,17.5688383
59,15.44082355,-2.852061272,6.612509727,-9.143566132,-14.42167759,2.896434069,2.054464817,36.26475906,-19.36953354,-19.37257576,32.55564499,-21.01045227,29.52890968,69.73934174,-48.69473648,-39.93163681,72.26822662,-48.95667267,stand up,58.26933385,15.08639606
60,15.68326759,-2.490211964,5.916023254,-8.428358078,-14.89634991,1.954072714,0.564932823,37.28501892,-17.96912575,-20.85372925,32.88298416,-19.84377861,28.73403358,69.06478119,-48.74938583,-41.07453156,71.79795074,-49.34581375,stand up,62.36480214,12.87976874
61,15.8742342,-2.228193045,5.264377594,-7.722739697,-15.29113388,1.00825429,-0.683154166,38.24804306,-16.49502754,-22.1394825,33.29618454,-18.53892899,27.93262863,68.37606812,-48.73584366,-42.02782822,71.32191467,-49.6230545,stand up,65.77308394,11.08403639
62,16.0323658,-2.04424262,4.65157032,-7.062667847,-15.58725643,0.097632408,-1.701678276,39.16513443,-14.93749332,-23.23778343,33.79934311,-17.10485268,27.13923836,67.63589478,-48.68558884,-42.83525467,70.80015564,-49.80600739,stand up,68.65419282,9.773246988
63,16.17571831,-1.940988064,4.047620296,-6.500686169,-15.75968075,-0.767368078,-2.545978785,40.08158875,-13.26595879,-24.1835022,34.38996506,-15.53380489,26.40728378,66.7649231,-48.57230759,-43.50827408,70.19484711,-49.91348267,stand up,71.35002504,8.934121344
64,16.32554626,-2.147102356,3.449124098,-6.306346416,-15.80510426,-1.20742321,-3.005779505,40.92021179,-11.77074337,-24.7297287,35.23458862,-13.77832603,26.16028214,65.73300171,-48.43280792,-43.97645569,69.41223145,-50.02402115,stand up,73.78434495,9.537862589
65,16.4551239,-2.329309225,2.837061882,-6.124620914,-15.82895374,-1.664239168,-3.419653416,41.72476959,-10.26003933,-25.24635696,36.03773499,-12.00412846,25.86767578,64.62081909,-48.22142029,-44.35403442,68.5076828,-50.0430603,stand up,76.26493439,10.23818888
66,16.56408691,-2.486887455,2.213186026,-5.962778091,-15.87917614,-2.019220591,-3.787458658,42.49206924,-8.73734951,-25.73247337,36.7961998,-10.21485615,25.53045654,63.43625641,-47.93410873,-44.64009476,67.49140167,-49.96213913,stand up,78.80391157,11.06051553
67,16.62070656,-2.970297575,1.553475857,-6.217036247,-15.81678581,-2.002960443,-3.464884996,42.88809204,-8.137461662,-25.48790932,37.85208893,-8.666163445,26.00764656,62.35656738,-48.12152481,-44.56822205,66.26244354,-50.15147781,stand up,80.20572654,14.13351467
68,16.54240608,-3.664949417,0.808030367,-6.752439022,-15.68212223,-1.685607433,-2.420614719,43.05231094,-8.294168472,-24.55156708,38.97728348,-7.811805725,26.86111259,61.33651733,-49.13211823,-43.88306046,65.06902313,-50.79031754,stand up,80.11110868,18.49775286
69,16.3991375,-4.364583015,0.077235699,-7.24651289,-15.58732128,-1.255977154,-1.360404491,43.18042755,-8.499002457,-23.52753258,40.08436966,-7.034852982,27.66392136,60.26589966,-50.17771149,-43.2842865,63.73244476,-51.3163681,stand up,79.99858776,23.57562471
